City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,susuman,62.7833,148.1667,11.88,78,100,1.56,RU,1723097075
1,jamestown,42.097,-79.2353,19.45,94,75,2.57,US,1723097076
2,georgetown,5.4112,100.3354,32.96,62,20,6.69,MY,1723096821
3,tura,25.5198,90.2201,29.28,74,58,3.72,IN,1723097078
4,thanh hoa,19.8,105.7667,36.82,48,0,1.89,VN,1723097079
5,grytviken,-54.2811,-36.5092,-10.7,74,21,3.42,GS,1723097081
6,papatowai,-46.5619,169.4708,6.54,86,42,2.28,NZ,1723097082
7,newman,37.3138,-121.0208,28.49,49,0,2.52,US,1723097083
8,blackmans bay,-43.0167,147.3167,14.85,55,100,3.13,AU,1723097084
9,west island,-12.1568,96.8225,27.99,69,40,5.66,CC,1723097086
10,jutai,-5.1833,-68.9,23.27,75,1,0.19,BR,1723097087
11,hamilton,39.1834,-84.5333,21.9,88,0,3.09,US,1723097088
12,albany,42.6001,-73.9662,16.53,81,1,1.35,US,1723097025
13,san juan bautista,-14.0108,-75.7358,15.58,78,0,0.95,PE,1723097090
14,nar'yan-mar,67.6713,53.087,14.58,53,0,2.31,RU,1723096926
15,east london,-33.0153,27.9116,9.52,71,0,1.54,ZA,1723097093
16,saint-pierre,-21.3393,55.4781,24.82,57,0,5.14,RE,1723097094
17,bilibino,68.0546,166.4372,14.03,38,35,5.91,RU,1723097095
18,north liberty,41.7492,-91.598,18.51,90,0,0.0,US,1723097096
19,dudinka,69.4058,86.1778,16.61,43,10,9.01,RU,1723097097
20,tlaltenango de sanchez roman,21.7833,-103.3167,19.1,84,88,1.94,MX,1723097098
21,olonkinbyen,70.9221,-8.7187,5.29,100,100,3.45,SJ,1723097100
22,vorgashor,67.5833,63.95,14.76,48,5,1.93,RU,1723097101
23,san martin de los andes,-40.1604,-71.3486,-5.63,94,27,0.51,AR,1723097102
24,isafjordur,66.0755,-23.124,6.42,90,94,1.03,IS,1723097103
25,adamstown,-25.066,-130.1015,19.74,69,97,5.12,PN,1723097104
26,wailua homesteads,22.0669,-159.378,25.44,83,75,6.69,US,1723097105
27,lebu,-37.6167,-73.65,4.94,86,4,2.28,CL,1723097107
28,tomatlan,19.9333,-105.25,25.51,89,100,1.04,MX,1723097108
29,port lincoln,-34.7333,135.8667,15.45,68,66,7.0,AU,1723097110
30,gembu,6.7,11.2667,16.54,97,96,0.74,NG,1723097111
31,port-aux-francais,-49.35,70.2167,0.07,91,100,10.34,TF,1723097113
32,apartado,7.883,-76.6259,23.45,94,91,1.57,CO,1723097114
33,anadyr,64.75,177.4833,8.28,81,40,4.92,RU,1723097115
34,waitangi,-43.9535,-176.5597,10.46,74,23,7.9,NZ,1723097116
35,ma'rib,15.4591,45.3253,32.14,29,91,3.59,YE,1723097117
36,jinka,5.65,36.65,21.19,68,78,2.17,ET,1723097118
37,ilulissat,69.2167,-51.1,5.01,100,100,1.54,GL,1723097120
38,ancud,-41.8697,-73.8203,3.76,89,14,1.63,CL,1723097121
39,toliara,-23.35,43.6667,23.85,51,0,2.13,MG,1723097122
40,ribeira grande,38.5167,-28.7,22.1,84,0,4.02,PT,1723097123
41,terrace,54.5163,-128.6035,23.95,53,20,3.6,CA,1723097124
42,mil'kovo,55.6078,37.7956,18.22,70,98,2.44,RU,1723097125
43,tralee,52.2704,-9.7026,14.86,96,98,1.6,IE,1723097127
44,utrik,11.2278,169.8474,28.46,76,13,6.66,MH,1723097128
45,schwalbach,49.3,6.8167,17.1,82,100,0.31,DE,1723097129
46,leava,-14.3,-178.1667,25.96,61,82,9.25,WF,1723097130
47,qaqortoq,60.7167,-46.0333,7.15,93,100,1.47,GL,1723097131
48,polyarnyy,69.1989,33.4478,16.2,54,68,3.53,RU,1723097133
49,atafu village,-8.5421,-172.5159,28.65,72,37,9.18,TK,1723097134
50,muscat,23.6139,58.5922,30.01,69,27,3.12,OM,1723097135
51,katsuren-haebaru,26.3369,127.8719,29.43,89,75,2.57,JP,1723097136
52,san patricio,28.017,-97.5169,29.38,73,0,5.47,US,1723097137
53,valparaiso,-33.0393,-71.6273,9.52,87,0,2.06,CL,1723097138
54,badger,64.8,-147.5333,20.93,73,75,5.66,US,1723097140
55,batouri,4.4333,14.3667,19.89,92,96,2.17,CM,1723097141
56,avarua,-21.2078,-159.775,22.03,60,20,2.57,CK,1723097115
57,remire-montjoly,4.9167,-52.2667,25.02,94,0,0.0,GF,1723097143
58,yuzhno-kurilsk,44.0306,145.8556,18.33,100,100,0.83,RU,1723097144
59,iquique,-20.2208,-70.1431,15.02,77,10,1.73,CL,1723096858
60,tazacorte,28.629,-17.9293,22.54,73,75,5.14,ES,1723097146
61,ushuaia,-54.8,-68.3,1.81,80,100,0.0,AR,1723097148
62,puerto natales,-51.7236,-72.4875,1.5,86,100,1.3,CL,1723097149
63,tsiombe,-25.3,45.4833,22.8,66,2,3.55,MG,1723097150
64,dawei,14.0833,98.2,30.13,68,93,3.12,MM,1723097151
65,port alfred,-33.5906,26.891,16.49,61,0,3.16,ZA,1723097152
66,soio,-6.1349,12.3689,21.4,85,94,3.93,AO,1723097153
67,pacific grove,36.6177,-121.9166,16.23,95,100,2.57,US,1723097155
68,prince rupert,54.3161,-130.3201,13.83,100,75,1.03,CA,1723097156
69,coquimbo,-29.9533,-71.3436,11.85,75,100,1.54,CL,1723097157
70,edinburgh of the seven seas,-37.0676,-12.3116,9.72,56,100,10.64,SH,1723097159
71,constantia,44.1833,28.65,24.38,64,3,0.93,RO,1723097160
72,kingston,17.997,-76.7936,28.53,89,40,4.63,JM,1723097162
73,the bottom,17.6259,-63.2492,26.31,75,2,7.08,BQ,1723097163
74,queenstown,-31.8976,26.8753,11.92,34,0,2.13,ZA,1723097164
